[IRV | HI | OT | Psalms | Chapter 119 | Verse 1] क्या ही धन्य हैं वे जो चाल के खरे हैं, और यहोवा की व्यवस्था पर चलते हैं!
[IRV | HI | OT | Psalms | Chapter 119 | Verse 164] तेरे धर्ममय नियमों के कारण मैं प्रतिदिन सात बार तेरी स्तुति करता हूँ।
[IRV | HI | OT | Psalms | Chapter 119 | Verse 165] तेरी व्यवस्था से प्रीति रखनेवालों को बड़ी शान्ति होती है; और उनको कुछ ठोकर नहीं लगती।
[IRV | HI | OT | Psalms | Chapter 119 | Verse 166] हे यहोवा, मैं तुझ से उद्धार पाने की आशा रखता हूँ; और तेरी आज्ञाओं पर चलता आया हूँ।
[IRV | HI | OT | Psalms | Chapter 119 | Verse 167] मैं तेरी चितौनियों को जी से मानता हूँ, और उनसे बहुत प्रीति रखता आया हूँ।
[IRV | HI | OT | Psalms | Chapter 119 | Verse 168] मैं तेरे उपदेशों और चितौनियों को मानता आया हूँ, क्योंकि मेरी सारी चाल चलन तेरे सम्मुख प्रगट है। ताव
[IRV | HI | OT | Psalms | Chapter 119 | Verse 169] हे यहोवा, मेरी दुहाई तुझ तक पहुँचे; तू अपने वचन के अनुसार मुझे समझ दे!
[IRV | HI | OT | Psalms | Chapter 119 | Verse 170] मेरा गिड़गिड़ाना तुझ तक पहुँचे; तू अपने वचन के अनुसार मुझे छुड़ा ले।
[IRV | HI | OT | Psalms | Chapter 119 | Verse 171] मेरे मुँह से स्तुति निकला करे, क्योंकि तू मुझे अपनी विधियाँ सिखाता है।
[IRV | HI | OT | Psalms | Chapter 119 | Verse 172] मैं तेरे वचन का गीत गाऊँगा, क्योंकि तेरी सब आज्ञाएँ धर्ममय हैं।
[IRV | HI | OT | Psalms | Chapter 119 | Verse 173] तेरा हाथ मेरी सहायता करने को तैयार रहता है, क्योंकि मैंने तेरे उपदेशों को अपनाया है।
[IRV | HI | OT | Psalms | Chapter 119 | Verse 174] हे यहोवा, मैं तुझ से उद्धार पाने की अभिलाषा करता हूँ, मैं तेरी व्यवस्था से सुखी हूँ।
[IRV | HI | OT | Psalms | Chapter 119 | Verse 175] मुझे जिला, और मैं तेरी स्तुति करूँगा, तेरे नियमों से मेरी सहायता हो।
[IRV | HI | OT | Psalms | Chapter 119 | Verse 176] मैं खोई हुई भेड़ के समान भटका हूँ; तू अपने दास को ढूँढ़ ले, क्योंकि मैं तेरी आज्ञाओं को भूल नहीं गया।
